Play #,State,Action,Reward,Next State,Terminated
1,[0.14045238 0.04498608],2,-1.0,[0.18415713 0.04370475],0
1,[0.18415713 0.04370475],2,-1.0,[0.2267338  0.04257667],0
1,[0.2267338  0.04257667],2,-1.0,[0.26836687 0.04163306],0
1,[0.26836687 0.04163306],2,-1.0,[0.3092673  0.04090046],0
1,[0.3092673  0.04090046],2,-1.0,[0.3496688  0.04040148],0
1,[0.3496688  0.04040148],2,-1.0,[0.38982418 0.04015539],0
1,[0.38982418 0.04015539],2,-1.0,[0.430003  0.0401788],0
1,[0.430003  0.0401788],1,-1.0,[0.469489   0.03948602],0
1,[0.469489   0.03948602],1,-1.0,[0.50857097 0.03908198],1
2,"(array([-0.5271337,  0.       ], dtype=float32), {})",1,-1.0,[-5.2710718e-01  2.6511434e-05],0
2,[-5.2710718e-01  2.6511434e-05],1,-1.0,[-5.2705437e-01  5.2824042e-05],0
2,[-5.2705437e-01  5.2824042e-05],1,-1.0,[-5.2697563e-01  7.8740493e-05],0
2,[-5.2697563e-01  7.8740493e-05],1,-1.0,[-5.2687156e-01  1.0406642e-04],0
2,[-5.2687156e-01  1.0406642e-04],1,-1.0,[-5.2674294e-01  1.2861189e-04],0
2,[-5.2674294e-01  1.2861189e-04],1,-1.0,[-5.2659076e-01  1.5219281e-04],0
2,[-5.2659076e-01  1.5219281e-04],2,-1.0,[-0.52541614  0.00117463],0
2,[-0.52541614  0.00117463],2,-1.0,[-0.5232279   0.00218826],0
2,[-0.5232279   0.00218826],2,-1.0,[-0.52004236  0.00318548],0
2,[-0.52004236  0.00318548],2,-1.0,[-0.51588356  0.00415881],0
2,[-0.51588356  0.00415881],2,-1.0,[-0.5107826   0.00510095],0
2,[-0.5107826   0.00510095],2,-1.0,[-0.5047778   0.00600485],0
2,[-0.5047778   0.00600485],2,-1.0,[-0.497914    0.00686377],0
2,[-0.497914    0.00686377],2,-1.0,[-0.4902427   0.00767132],0
2,[-0.4902427   0.00767132],2,-1.0,[-0.48182112  0.00842157],0
2,[-0.48182112  0.00842157],2,-1.0,[-0.47271204  0.00910906],0
2,[-0.47271204  0.00910906],2,-1.0,[-0.46298316  0.00972889],0
2,[-0.46298316  0.00972889],2,-1.0,[-0.4527064   0.01027677],0
2,[-0.4527064   0.01027677],2,-1.0,[-0.4419573   0.01074908],0
2,[-0.4419573   0.01074908],2,-1.0,[-0.43081445  0.01114287],0
2,[-0.43081445  0.01114287],2,-1.0,[-0.4193585   0.01145594],0
2,[-0.4193585   0.01145594],2,-1.0,[-0.4076717   0.01168682],0
2,[-0.4076717   0.01168682],2,-1.0,[-0.3958369   0.01183479],0
2,[-0.3958369   0.01183479],2,-1.0,[-0.38393703  0.01189986],0
2,[-0.38393703  0.01189986],2,-1.0,[-0.37205425  0.01188278],0
2,[-0.37205425  0.01188278],2,-1.0,[-0.3602693   0.01178494],0
2,[-0.3602693   0.01178494],2,-1.0,[-0.34866092  0.01160841],0
2,[-0.34866092  0.01160841],2,-1.0,[-0.33730513  0.01135578],0
2,[-0.33730513  0.01135578],2,-1.0,[-0.32627493  0.01103018],0
2,[-0.32627493  0.01103018],2,-1.0,[-0.31563976  0.01063519],0
2,[-0.31563976  0.01063519],2,-1.0,[-0.30546504  0.01017472],0
2,[-0.30546504  0.01017472],2,-1.0,[-0.29581204  0.00965301],0
2,[-0.29581204  0.00965301],2,-1.0,[-0.28673753  0.0090745 ],0
2,[-0.28673753  0.0090745 ],1,-1.0,[-0.27929372  0.00744381],0
2,[-0.27929372  0.00744381],1,-1.0,[-0.2735225   0.00577122],0
2,[-0.2735225   0.00577122],1,-1.0,[-0.2694558  0.0040667],0
2,[-0.2694558  0.0040667],1,-1.0,[-0.2671158  0.00234  ],0
2,[-0.2671158  0.00234  ],1,-1.0,[-0.26651514  0.00060065],0
2,[-0.26651514  0.00060065],0,-1.0,[-0.26865706 -0.00214193],0
2,[-0.26865706 -0.00214193],0,-1.0,[-0.27353004 -0.00487296],0
2,[-0.27353004 -0.00487296],0,-1.0,[-0.28110746 -0.00757743],0
2,[-0.28110746 -0.00757743],0,-1.0,[-0.29134735 -0.01023989],0
2,[-0.29134735 -0.01023989],0,-1.0,[-0.3041916  -0.01284422],0
2,[-0.3041916  -0.01284422],0,-1.0,[-0.3195651 -0.0153735],0
2,[-0.3195651 -0.0153735],0,-1.0,[-0.33737504 -0.01780997],0
2,[-0.33737504 -0.01780997],0,-1.0,[-0.35751018 -0.02013512],0
2,[-0.35751018 -0.02013512],0,-1.0,[-0.37984005 -0.02232988],0
2,[-0.37984005 -0.02232988],0,-1.0,[-0.404215   -0.02437495],0
2,[-0.404215   -0.02437495],0,-1.0,[-0.43046632 -0.02625131],0
2,[-0.43046632 -0.02625131],0,-1.0,[-0.45840707 -0.02794076],0
2,[-0.45840707 -0.02794076],0,-1.0,[-0.48783365 -0.02942658],0
2,[-0.48783365 -0.02942658],0,-1.0,[-0.518528   -0.03069431],0
2,[-0.518528   -0.03069431],0,-1.0,[-0.5502603  -0.03173234],0
2,[-0.5502603  -0.03173234],0,-1.0,[-0.5827929  -0.03253259],0
2,[-0.5827929  -0.03253259],0,-1.0,[-0.6158838  -0.03309096],0
2,[-0.6158838  -0.03309096],0,-1.0,[-0.64929146 -0.03340763],0
2,[-0.64929146 -0.03340763],0,-1.0,[-0.6827786  -0.03348712],0
2,[-0.6827786  -0.03348712],0,-1.0,[-0.7161167  -0.03333813],0
2,[-0.7161167  -0.03333813],0,-1.0,[-0.7490899  -0.03297319],0
2,[-0.7490899  -0.03297319],0,-1.0,[-0.78149796 -0.03240807],0
2,[-0.78149796 -0.03240807],0,-1.0,[-0.8131591  -0.03166111],0
2,[-0.8131591  -0.03166111],0,-1.0,[-0.8439115  -0.03075241],0
2,[-0.8439115  -0.03075241],0,-1.0,[-0.8736146  -0.02970309],0
2,[-0.8736146  -0.02970309],1,-1.0,[-0.9011491  -0.02753447],0
2,[-0.9011491  -0.02753447],1,-1.0,[-0.9264197  -0.02527062],0
2,[-0.9264197  -0.02527062],1,-1.0,[-0.9493526  -0.02293294],0
2,[-0.9493526  -0.02293294],1,-1.0,[-0.9698925  -0.02053988],0
2,[-0.9698925  -0.02053988],1,-1.0,[-0.9879993  -0.01810681],0
2,[-0.9879993  -0.01810681],1,-1.0,[-1.0036454  -0.01564613],0
2,[-1.0036454  -0.01564613],2,-1.0,[-1.0158129  -0.01216744],0
2,[-1.0158129  -0.01216744],2,-1.0,[-1.0244914  -0.00867851],0
2,[-1.0244914  -0.00867851],2,-1.0,[-1.0296757  -0.00518431],0
2,[-1.0296757  -0.00518431],2,-1.0,[-1.0313635  -0.00168776],0
2,[-1.0313635  -0.00168776],2,-1.0,[-1.029554    0.00180942],0
2,[-1.029554    0.00180942],2,-1.0,[-1.0242481   0.00530592],0
2,[-1.0242481   0.00530592],2,-1.0,[-1.0154481  0.0088   ],0
2,[-1.0154481  0.0088   ],2,-1.0,[-1.0031594   0.01228866],0
2,[-1.0031594   0.01228866],2,-1.0,[-0.9873926   0.01576688],0
2,[-0.9873926   0.01576688],2,-1.0,[-0.9681658   0.01922675],0
2,[-0.9681658   0.01922675],2,-1.0,[-0.945509    0.02265681],0
2,[-0.945509    0.02265681],2,-1.0,[-0.9194676   0.02604138],0
2,[-0.9194676   0.02604138],2,-1.0,[-0.8901076   0.02936007],0
2,[-0.8901076   0.02936007],2,-1.0,[-0.85752004  0.03258755],0
2,[-0.85752004  0.03258755],2,-1.0,[-0.8218264   0.03569361],0
2,[-0.8218264   0.03569361],2,-1.0,[-0.7831828   0.03864364],0
2,[-0.7831828   0.03864364],2,-1.0,[-0.74178314  0.04139961],0
2,[-0.74178314  0.04139961],2,-1.0,[-0.69786155  0.04392163],0
2,[-0.69786155  0.04392163],2,-1.0,[-0.6516917   0.04616987],0
2,[-0.6516917   0.04616987],2,-1.0,[-0.6035846  0.0481071],0
2,[-0.6035846  0.0481071],2,-1.0,[-0.5538833   0.04970125],0
2,[-0.5538833   0.04970125],2,-1.0,[-0.50295526  0.05092807],0
2,[-0.50295526  0.05092807],2,-1.0,[-0.45118192  0.05177334],0
2,[-0.45118192  0.05177334],2,-1.0,[-0.39894742  0.05223448],0
2,[-0.39894742  0.05223448],2,-1.0,[-0.3466262   0.05232123],0
2,[-0.3466262   0.05232123],2,-1.0,[-0.29457077  0.05205542],0
2,[-0.29457077  0.05205542],2,-1.0,[-0.24310108  0.05146971],0
2,[-0.24310108  0.05146971],2,-1.0,[-0.19249547  0.05060561],0
2,[-0.19249547  0.05060561],2,-1.0,[-0.14298445  0.04951102],0
2,[-0.14298445  0.04951102],2,-1.0,[-0.09474693  0.04823751],0
2,[-0.09474693  0.04823751],2,-1.0,[-0.04790911  0.04683783],0
2,[-0.04790911  0.04683783],2,-1.0,[-0.00254551  0.0453636 ],0
2,[-0.00254551  0.0453636 ],2,-1.0,[0.04131817 0.04386368],0
2,[0.04131817 0.04386368],2,-1.0,[0.08370102 0.04238285],0
2,[0.08370102 0.04238285],2,-1.0,[0.12466228 0.04096126],0
2,[0.12466228 0.04096126],2,-1.0,[0.16429634 0.03963406],0
2,[0.16429634 0.03963406],2,-1.0,[0.20272799 0.03843164],0
2,[0.20272799 0.03843164],2,-1.0,[0.24010791 0.03737992],0
2,[0.24010791 0.03737992],2,-1.0,[0.27660885 0.03650094],0
2,[0.27660885 0.03650094],2,-1.0,[0.31242228 0.03581343],0
2,[0.31242228 0.03581343],2,-1.0,[0.34775573 0.03533345],0
2,[0.34775573 0.03533345],2,-1.0,[0.38283068 0.03507495],0
2,[0.38283068 0.03507495],2,-1.0,[0.41788098 0.03505029],0
2,[0.41788098 0.03505029],2,-1.0,[0.4531516  0.03527063],0
2,[0.4531516  0.03527063],2,-1.0,[0.4888978 0.0357462],0
2,[0.4888978 0.0357462],2,-1.0,[0.52538425 0.03648642],1
3,"(array([-0.41616985,  0.        ], dtype=float32), {})",2,-1.0,[-4.1596171e-01  2.0815899e-04],0
3,[-4.1596171e-01  2.0815899e-04],2,-1.0,[-4.1554686e-01  4.1483733e-04],0
3,[-4.1554686e-01  4.1483733e-04],2,-1.0,[-0.4149283   0.00061857],0
3,[-0.4149283   0.00061857],2,-1.0,[-0.4141104  0.0008179],0
3,[-0.4141104  0.0008179],2,-1.0,[-0.413099    0.00101142],0
3,[-0.413099    0.00101142],1,-1.0,[-4.1290122e-01  1.9776866e-04],0
3,[-4.1290122e-01  1.9776866e-04],1,-1.0,[-0.4135185  -0.00061729],0
3,[-0.4135185  -0.00061729],1,-1.0,[-0.41494647 -0.00142796],0
3,[-0.41494647 -0.00142796],1,-1.0,[-0.41717497 -0.0022285 ],0
3,[-0.41717497 -0.0022285 ],1,-1.0,[-0.42018816 -0.00301319],0
3,[-0.42018816 -0.00301319],1,-1.0,[-0.42396453 -0.00377639],0
3,[-0.42396453 -0.00377639],1,-1.0,[-0.4284771  -0.00451257],0
3,[-0.4284771  -0.00451257],1,-1.0,[-0.43369344 -0.00521634],0
3,[-0.43369344 -0.00521634],1,-1.0,[-0.4395759  -0.00588248],0
3,[-0.4395759  -0.00588248],2,-1.0,[-0.44508192 -0.005506  ],0
3,[-0.44508192 -0.005506  ],2,-1.0,[-0.45017138 -0.00508945],0
3,[-0.45017138 -0.00508945],2,-1.0,[-0.45480707 -0.00463571],0
3,[-0.45480707 -0.00463571],2,-1.0,[-0.45895508 -0.00414799],0
3,[-0.45895508 -0.00414799],2,-1.0,[-0.46258485 -0.00362979],0
3,[-0.46258485 -0.00362979],2,-1.0,[-0.4656697  -0.00308484],0
3,[-0.4656697  -0.00308484],2,-1.0,[-0.46818683 -0.00251712],0
3,[-0.46818683 -0.00251712],2,-1.0,[-0.47011763 -0.0019308 ],0
3,[-0.47011763 -0.0019308 ],2,-1.0,[-0.47144783 -0.00133019],0
3,[-0.47144783 -0.00133019],2,-1.0,[-0.47216755 -0.00071973],0
3,[-0.47216755 -0.00071973],2,-1.0,[-4.7227147e-01 -1.0393644e-04],0
3,[-4.7227147e-01 -1.0393644e-04],2,-1.0,[-0.47175887  0.00051263],0
3,[-0.47175887  0.00051263],2,-1.0,[-0.47063348  0.00112539],0
3,[-0.47063348  0.00112539],2,-1.0,[-0.46890363  0.00172982],0
3,[-0.46890363  0.00172982],2,-1.0,[-0.46658218  0.00232145],0
3,[-0.46658218  0.00232145],2,-1.0,[-0.4636863   0.00289591],0
3,[-0.4636863   0.00289591],2,-1.0,[-0.4602373   0.00344898],0
3,[-0.4602373   0.00344898],2,-1.0,[-0.45626068  0.00397662],0
3,[-0.45626068  0.00397662],2,-1.0,[-0.45178565  0.00447502],0
3,[-0.45178565  0.00447502],2,-1.0,[-0.44684508  0.00494057],0
3,[-0.44684508  0.00494057],2,-1.0,[-0.4414751  0.00537  ],0
3,[-0.4414751  0.00537  ],2,-1.0,[-0.4357148   0.00576028],0
3,[-0.4357148   0.00576028],2,-1.0,[-0.42960605  0.00610876],0
3,[-0.42960605  0.00610876],2,-1.0,[-0.42319295  0.00641312],0
3,[-0.42319295  0.00641312],2,-1.0,[-0.41652152  0.00667141],0
3,[-0.41652152  0.00667141],2,-1.0,[-0.40963945  0.00688207],0
3,[-0.40963945  0.00688207],2,-1.0,[-0.40259552  0.00704393],0
3,[-0.40259552  0.00704393],2,-1.0,[-0.39543933  0.00715621],0
3,[-0.39543933  0.00715621],2,-1.0,[-0.3882208   0.00721852],0
3,[-0.3882208   0.00721852],1,-1.0,[-0.38198993  0.00623087],0
3,[-0.38198993  0.00623087],1,-1.0,[-0.37678948  0.00520046],0
3,[-0.37678948  0.00520046],1,-1.0,[-0.37265483  0.00413464],0
3,[-0.37265483  0.00413464],0,-1.0,[-0.37061396  0.00204086],0
3,[-0.37061396  0.00204086],0,-1.0,[-3.7068063e-01 -6.6669119e-05],0
3,[-3.7068063e-01 -6.6669119e-05],0,-1.0,[-0.37285438 -0.00217375],0
3,[-0.37285438 -0.00217375],0,-1.0,[-0.37712058 -0.00426619],0
3,[-0.37712058 -0.00426619],0,-1.0,[-0.38345033 -0.00632976],0
3,[-0.38345033 -0.00632976],0,-1.0,[-0.3918005  -0.00835017],0
3,[-0.3918005  -0.00835017],0,-1.0,[-0.40211362 -0.0103131 ],0
3,[-0.40211362 -0.0103131 ],0,-1.0,[-0.41431782 -0.01220421],0
3,[-0.41431782 -0.01220421],0,-1.0,[-0.42832702 -0.01400921],0
3,[-0.42832702 -0.01400921],0,-1.0,[-0.44404107 -0.01571406],0
3,[-0.44404107 -0.01571406],0,-1.0,[-0.46134618 -0.01730509],0
3,[-0.46134618 -0.01730509],0,-1.0,[-0.48011547 -0.01876928],0
3,[-0.48011547 -0.01876928],0,-1.0,[-0.5002099  -0.02009448],0
3,[-0.5002099  -0.02009448],0,-1.0,[-0.52147967 -0.02126975],0
3,[-0.52147967 -0.02126975],0,-1.0,[-0.5437653  -0.02228564],0
3,[-0.5437653  -0.02228564],0,-1.0,[-0.56689984 -0.02313449],0
3,[-0.56689984 -0.02313449],0,-1.0,[-0.59071046 -0.02381064],0
3,[-0.59071046 -0.02381064],0,-1.0,[-0.61502117 -0.0243107 ],0
3,[-0.61502117 -0.0243107 ],0,-1.0,[-0.63965476 -0.02463359],0
3,[-0.63965476 -0.02463359],0,-1.0,[-0.6644354  -0.02478065],0
3,[-0.6644354  -0.02478065],0,-1.0,[-0.6891909  -0.02475553],0
3,[-0.6891909  -0.02475553],0,-1.0,[-0.71375495 -0.02456404],0
3,[-0.71375495 -0.02456404],0,-1.0,[-0.737969   -0.02421398],0
3,[-0.737969   -0.02421398],0,-1.0,[-0.7616837  -0.02371476],0
3,[-0.7616837  -0.02371476],0,-1.0,[-0.78476083 -0.02307712],0
3,[-0.78476083 -0.02307712],0,-1.0,[-0.8070736  -0.02231274],0
3,[-0.8070736  -0.02231274],0,-1.0,[-0.8285074  -0.02143384],0
3,[-0.8285074  -0.02143384],0,-1.0,[-0.8489602  -0.02045285],0
3,[-0.8489602  -0.02045285],0,-1.0,[-0.86834234 -0.01938207],0
3,[-0.86834234 -0.01938207],0,-1.0,[-0.8865757 -0.0182334],0
3,[-0.8865757 -0.0182334],0,-1.0,[-0.9035938  -0.01701807],0
3,[-0.9035938  -0.01701807],1,-1.0,[-0.91834027 -0.0147465 ],0
3,[-0.91834027 -0.0147465 ],1,-1.0,[-0.9307713  -0.01243098],0
3,[-0.9307713  -0.01243098],1,-1.0,[-0.9408532  -0.01008193],0
3,[-0.9408532  -0.01008193],2,-1.0,[-0.94756126 -0.00670809],0
3,[-0.94756126 -0.00670809],2,-1.0,[-0.9508802  -0.00331894],0
3,[-0.9508802  -0.00331894],2,-1.0,[-9.508028e-01  7.741790e-05],0
3,[-9.508028e-01  7.741790e-05],2,-1.0,[-0.9473292   0.00347361],0
3,[-0.9473292   0.00347361],2,-1.0,[-0.94046694  0.00686224],0
3,[-0.94046694  0.00686224],2,-1.0,[-0.93023175  0.01023518],0
3,[-0.93023175  0.01023518],2,-1.0,[-0.9166489   0.01358284],0
3,[-0.9166489   0.01358284],2,-1.0,[-0.8997554   0.01689355],0
3,[-0.8997554   0.01689355],2,-1.0,[-0.87960243  0.02015294],0
3,[-0.87960243  0.02015294],2,-1.0,[-0.85625887  0.02334355],0
3,[-0.85625887  0.02334355],2,-1.0,[-0.8298144  0.0264445],0
3,[-0.8298144  0.0264445],2,-1.0,[-0.800383    0.02943145],0
3,[-0.800383    0.02943145],2,-1.0,[-0.76810604  0.03227687],0
3,[-0.76810604  0.03227687],2,-1.0,[-0.7331555  0.0349506],0
3,[-0.7331555  0.0349506],2,-1.0,[-0.6957347   0.03742077],0
3,[-0.6957347   0.03742077],2,-1.0,[-0.65607953  0.03965517],0
3,[-0.65607953  0.03965517],2,-1.0,[-0.6144567   0.04162282],0
3,[-0.6144567   0.04162282],2,-1.0,[-0.57116085  0.04329585],0
3,[-0.57116085  0.04329585],2,-1.0,[-0.5265095   0.04465136],0
3,[-0.5265095   0.04465136],2,-1.0,[-0.4808363   0.04567319],0
3,[-0.4808363   0.04567319],2,-1.0,[-0.43448296  0.04635335],0
3,[-0.43448296  0.04635335],2,-1.0,[-0.38779005  0.04669292],0
